"FILENAME"	"GIVENNAME"	"EXPERIMENT"	"MONTH"	"CELLTYPE"	"LOCATION"	"MISC"
"78"	NA	NA	NA	NA	NA	NA	NA
"79"	NA	NA	NA	NA	NA	NA	NA
"80"	NA	NA	NA	NA	NA	NA	NA
"81"	NA	NA	NA	NA	NA	NA	NA
"82"	NA	NA	NA	NA	NA	NA	NA
"83"	"zh1910mT.fastq"	"10m T"	""	NA	NA	NA	""
"84"	"zh1910mB.fastq"	"10m B"	""	NA	NA	NA	""
"85"	NA	NA	NA	NA	NA	NA	NA
"86"	"zh1910mMono.fastq"	"10m Mono"	""	NA	NA	NA	""
"87"	"zh1910mCD33pGFPp.fastq"	"10m Gr"	""	NA	NA	NA	""
"88"	NA	NA	NA	NA	NA	NA	NA
"89"	NA	NA	NA	NA	NA	NA	NA
"90"	NA	NA	NA	NA	NA	NA	NA
"91"	NA	NA	NA	NA	NA	NA	NA
"92"	NA	NA	NA	NA	NA	NA	NA
"93"	NA	NA	NA	NA	NA	NA	NA
"94"	NA	NA	NA	NA	NA	NA	NA
"95"	NA	NA	NA	NA	NA	NA	NA
"96"	NA	NA	NA	NA	NA	NA	NA
"97"	NA	NA	NA	NA	NA	NA	NA
"98"	NA	NA	NA	NA	NA	NA	NA
"99"	NA	NA	NA	NA	NA	NA	NA
"100"	NA	NA	NA	NA	NA	NA	NA
"101"	NA	NA	NA	NA	NA	NA	NA
"102"	"zh1915hmGFPpCD33p.fastq"	"15.5m Gr"	""	NA	NA	NA	""
"103"	"zh1915hmMono.fastq"	"15.5m Mono"	""	NA	NA	NA	""
"104"	NA	NA	NA	NA	NA	NA	NA
"105"	NA	NA	NA	NA	NA	NA	NA
"106"	NA	NA	NA	NA	NA	NA	NA
"107"	NA	NA	NA	NA	NA	NA	NA
"108"	NA	NA	NA	NA	NA	NA	NA
"109"	"zh19B031615.fastq"	"22m B"	""	NA	NA	NA	""
"110"	NA	NA	NA	NA	NA	NA	NA
"111"	"zh19GFPpCD33p031615.fastq"	"22m Gr"	""	NA	NA	NA	""
"112"	"zh19Mono031615.fastq"	"22m Mono"	""	NA	NA	NA	""
"113"	NA	NA	NA	NA	NA	NA	NA
"114"	"zh19T031615.fastq.fastq"	"22m T"	""	NA	NA	NA	""
"115"	NA	NA	NA	NA	NA	NA	NA
"116"	NA	NA	NA	NA	NA	NA	NA
"117"	NA	NA	NA	NA	NA	NA	NA
"118"	NA	NA	NA	NA	NA	NA	NA
"119"	"zh1915hmBredoCD96R22.fastq"	"15.5m B redo"	""	NA	NA	NA	""
"120"	NA	NA	NA	NA	NA	NA	NA
"121"	NA	NA	NA	NA	NA	NA	NA
"122"	NA	NA	NA	NA	NA	NA	NA
"123"	"zh1915hmTredoCD96R29.fastq"	"15.5m T redo"	""	NA	NA	NA	""
"124"	NA	NA	NA	NA	NA	NA	NA
"125"	NA	NA	NA	NA	NA	NA	NA
"126"	NA	NA	NA	NA	NA	NA	NA
"127"	NA	NA	NA	NA	NA	NA	NA
"128"	NA	NA	NA	NA	NA	NA	NA
"129"	NA	NA	NA	NA	NA	NA	NA
"130"	NA	NA	NA	NA	NA	NA	NA
"131"	NA	NA	NA	NA	NA	NA	NA
"132"	NA	NA	NA	NA	NA	NA	NA
"133"	NA	NA	NA	NA	NA	NA	NA
"134"	NA	NA	NA	NA	NA	NA	NA
"135"	NA	NA	NA	NA	NA	NA	NA
"136"	NA	NA	NA	NA	NA	NA	NA
"137"	NA	NA	NA	NA	NA	NA	NA
"138"	NA	NA	NA	NA	NA	NA	NA
"139"	NA	NA	NA	NA	NA	NA	NA
"140"	NA	NA	NA	NA	NA	NA	NA
"141"	NA	NA	NA	NA	NA	NA	NA
"142"	NA	NA	NA	NA	NA	NA	NA
"143"	NA	NA	NA	NA	NA	NA	NA
"144"	NA	NA	NA	NA	NA	NA	NA
"145"	NA	NA	NA	NA	NA	NA	NA
"146"	NA	NA	NA	NA	NA	NA	NA
"147"	NA	NA	NA	NA	NA	NA	NA
"148"	NA	NA	NA	NA	NA	NA	NA
"149"	NA	NA	NA	NA	NA	NA	NA
"150"	"pp_50trim_zh19_28m_T_DiegoDemultiplex.fastq"	"28m T (DAE)"	""	NA	NA	NA	""
"151"	"pp_50trim_zh19_28m_Mono_DiegoDemultiplex.fastq"	"28m Mono (DAE)"	""	NA	NA	NA	""
"152"	"pp_50trim_zh19_28m_B_CD110_DiegoDemultiplex.fastq"	"28m B (DAE)"	""	NA	NA	NA	""
"153"	"pp_50trim_zh19_28m_Gr_DiegoDemultiplex.fastq"	"28m Gr (DAE)"	""	NA	NA	NA	""
"154"	"zh19_32m_PB_B_sorted20160209_20151217_pp_50trim_CD119_R30.fastq"	"32m B"	"CD119"	NA	NA	NA	""
"155"	"zh19_32m_PB_Gr_Ficoll_20151217_pp_50trim_CD119_R3.fastq"	"32m Gr Ficoll"	"CD119"	NA	NA	NA	""
"156"	"zh19_32m_PB_Mono_sorted_20160209_20151217_pp_50trim_CD119_R1.fastq"	"32m Mono"	"CD119"	NA	NA	NA	""
"157"	NA	NA	NA	NA	NA	NA	NA
"158"	NA	NA	NA	NA	NA	NA	NA
"159"	"zh19_32m_PB_T_sorted20160209_20151217_pp_50trim_CD119_R29.fastq"	"32m T"	"CD119"	NA	NA	NA	""
"160"	"zh19_36m_B_20160509_pp_50trim_CD127_R3.fastq"	"36m B"	""	NA	NA	NA	""
"161"	"zh19_36m_Gr_Ficoll_20160509_pp_50trim_CD127_R1.fastq"	"36m Gr"	""	NA	NA	NA	""
"162"	"zh19_36m_Mono_CD14_20160509_pp_50trim_CD127_R5.fastq"	"36m Mono"	""	NA	NA	NA	""
"163"	NA	NA	NA	NA	NA	NA	NA
"164"	NA	NA	NA	NA	NA	NA	NA
"165"	"zh19_36m_T_20160509_pp_50trim_CD127_R2.fastq"	"36m T"	""	NA	NA	NA	""
